,fold_0,fold_1,fold_2,fold_3,fold_4,mean_imp
AVERAGE_PERF_6,0.00020549847264647036,0.0007109136351013179,-0.0001943904470979918,0.00017495140238826812,0.0003971119133574064,0.0002588169952790942
AVERAGE_PERF_7,-0.0004221049708414526,0.0010080533185225725,-0.00018883643432375806,0.0003332407664537906,0.0008886420438767196,0.00032379894473757445
AVERAGE_PERF_8,-0.0001749514023882348,0.000655373507359025,-8.608719800051734e-05,5.276312135522598e-05,0.0006220494307137003,0.00021382949180783983
AVERAGE_PERF_9,0.0001527353512912999,0.00024159955567892855,-0.00026381560677585236,0.00018050541516247964,-5.83171341294042e-05,5.05415162454903e-05
AVERAGE_PERF_10,0.00029991668980837715,0.00033601777284082425,-0.00015828936406548922,2.777006387117975e-05,0.00014440433212998817,0.00012996389891697601
AVERAGE_PERF_11,0.0010580394334906873,0.0006442654818105686,-0.00026381560677584125,0.00016662038322692307,-0.0001527353512912999,0.0002904748680922076
AVERAGE_PERF_12,0.0011941127464593193,0.0006914745903915387,-0.00022493751735626067,8.608719800058395e-05,-0.00011941127464590862,0.0003254651485698545
AVERAGE_PERF_13,0.0008580949736184173,0.00016106637045258941,-0.00017217439600107908,0.00011108025548460798,5.554012774230399e-05,0.0002027214662593679
AVERAGE_PERF_14,0.00038044987503470517,0.00026659261316296367,-0.0005859483476811312,0.0003249097472924456,-7.497917245208319e-05,6.220494307138002e-05
AVERAGE_PERF_15,0.0012246598167175772,0.00064704248819768,-0.00020549847264644816,0.0003776728686476161,1.6662038322723393e-05,0.00041210774784782966
AVERAGE_PERF_16,0.0010052763121355056,0.00022771452374336086,0.00010552624271040756,0.0005026381560677917,5.83171341294153e-05,0.0003798944737572963
AVERAGE_PERF_17,0.0006886975840044385,0.0007081366287142177,0.00022216051096920486,0.000383226881421872,8.331019161356145e-06,0.00040211052485421777
AVERAGE_PERF_18,0.0009191891141349551,0.0007081366287142287,-0.00014995834490415526,0.0003082477089697666,0.00018328242154959097,0.00039377950569287725
AVERAGE_PERF_19,0.0010358233823937746,0.0009525131907802909,-7.497917245204987e-05,0.00028325465148574256,0.00014440433212996594,0.0004682032768675448
AVERAGE_PERF_20,0.0010358233823937746,0.0009525131907802909,-7.497917245204987e-05,0.00028325465148574256,0.00014440433212996594,0.0004682032768675448
ALLOCATIONS_AVERAGE_PERF_2,0.0008747570119411296,0.0014107192446542126,-0.00020827547903353726,-3.8878089419569496e-05,-0.00031102471535684464,0.00034545959455707816
ALLOCATIONS_AVERAGE_PERF_3,0.0009497361843932128,0.0011941127464592638,-0.00024437656206605096,0.0002471535684532178,0.0003915579005831837,0.0005076367675645654
ALLOCATIONS_AVERAGE_PERF_4,0.0027325742849208523,0.0009275201332962669,0.0005748403221327747,0.0015051374618161861,0.001269091918911447,0.0014018328242155053
ALLOCATIONS_AVERAGE_PERF_5,0.0008886420438767084,0.0005887253540682646,0.0009386281588448009,0.0020633157456262487,7.775617883923892e-05,0.0009114134962510522
ALLOCATIONS_AVERAGE_PERF_6,0.0051596778672590715,0.0024243265759510855,0.002018883643432434,0.002502082754790358,0.004718133851707873,0.0033646209386281644
ALLOCATIONS_AVERAGE_PERF_7,-9.997222993612942e-05,0.0005442932518744503,-0.00026381560677585236,-5.8317134129381996e-05,0.0002304915301305388,7.053596223272505e-05
ALLOCATIONS_AVERAGE_PERF_8,-0.0004637600666481667,7.497917245206099e-05,0.00029713968342131024,0.0022993612885309988,0.00035545681755070333,0.0005126353790613814
ALLOCATIONS_AVERAGE_PERF_9,0.007067481255206875,0.00229658428214381,0.0006192724243266334,0.0027020272146626167,0.009233546237156377,0.004383782282699263
ALLOCATIONS_AVERAGE_PERF_10,0.0012940849763954155,0.001910580394334882,0.0007081366287142842,0.006950846986948089,0.004856984171063616,0.003144126631491258
ALLOCATIONS_AVERAGE_PERF_11,0.006406553735073572,0.0012940849763954042,0.0005998333796168098,0.003179672313246362,0.005492918633712873,0.0033946126076090043
ALLOCATIONS_AVERAGE_PERF_12,0.00020549847264647036,0.0011774507081365958,0.001091363510136123,0.004582060538739286,-0.00039711191335738415,0.0013318522632602182
ALLOCATIONS_AVERAGE_PERF_13,0.0005220772007775376,0.0021549569564009554,0.0006220494307137448,0.004307136906414921,0.005662316023326864,0.0026537073035268048
ALLOCATIONS_AVERAGE_PERF_14,0.002801999444598724,0.002621494029436222,0.0007442377117467646,0.0013912801999445112,0.009294640377672891,0.0033707303526798226
ALLOCATIONS_AVERAGE_PERF_15,0.0022382671480144388,0.000930297139683367,3.3306690738754695e-17,0.00014162732574287684,0.0030824770896973218,0.0012785337406276075
ALLOCATIONS_AVERAGE_PERF_16,0.0027603443487919767,0.001363510136073265,0.000747014718133887,0.0018217161899472755,0.004301582893640699,0.002198833657317421
ALLOCATIONS_AVERAGE_PERF_17,0.009544570952513199,0.0029519577895028683,0.001196889752846475,0.00011663426825884172,0.008003332407664543,0.004362677034157185
ALLOCATIONS_AVERAGE_PERF_18,0.0005831713412940753,0.0006720355456817151,-0.00037489586226042705,0.0012829769508470256,0.0026187170230491663,0.0009564009997223112
ALLOCATIONS_AVERAGE_PERF_19,0.00033046376006664604,0.0007803387947791674,-0.00031935573451814526,0.0013079700083310386,0.00021660649819497114,0.00046320466537073566
ALLOCATIONS_AVERAGE_PERF_20,0.00033046376006664604,0.0007803387947791674,-0.00031935573451814526,0.0013079700083310386,0.00021660649819497114,0.00046320466537073566
RET_VOLATILITY_20,0.0006192724243265779,0.0009386281588447343,0.00011663426825887502,-8.886420438761756e-05,0.0006886975840044496,0.00045487364620940376
RET_MOMENTUM,0.001105248542071635,0.0006942515967786389,0.001446820327686793,0.0006137184115523664,0.0001332963065815318,0.0007986670369341932
RET_SHARPE,0.0040322132740905235,0.0010052763121354725,0.003690641488475477,0.004234934740349949,0.003079700083310222,0.0032085531796723285
SIGNED_VOLUME_VOL,0.00036378783671201507,0.0005887253540682758,-1.1108025548411949e-05,8.053318522635022e-05,-0.0001360733129685987,0.00017717300749792606
VOL_TREND_5,0.0009469591780061015,0.0017717300749791275,-0.000638711469036346,0.0006748125520689042,0.0006414884754235128,0.0006792557622882601
RET_TREND_5,0.0006303804498750343,0.001066370452651988,0.000810885865037514,0.0002499305748403513,0.0007525687309080986,0.0007020272146625972
alloc_enc,0.011216328797556218,0.010488753124132121,0.006814773673979491,0.01607053596223277,0.016331574562621486,0.012184393224104416
rank_perf_20,0.0012885309636212039,0.0007164676478755516,0.0009164121077478993,0.002310469314079455,0.002018883643432412,0.0014501527353513045
VOL_PERF_RATIO,0.00039155790058317266,0.00031657872813101173,-0.00023882254929180613,3.61010830325359e-05,6.109414051654882e-05,0.0001133018605942926
RET_KURT_20,0.0012552068869758348,0.0019216884198833052,0.0003776728686476494,0.00014440433212999925,0.0001138572618717193,0.0007625659539017015
RET_SKEW_20,0.0008803110247153523,0.00013885031935568782,0.00031935573451823406,-6.10941405164822e-05,0.0001721743960011124,0.00028991946681478087
RET_DIFF1,0.0009858372674257042,0.000422104970841386,-6.10941405164822e-05,0.00026103860038881874,0.0002527075812274515,0.00037211885587337565
RET_LAG1,0.0013051930019439052,0.0010969175229102567,0.0012718689252985804,0.0009358511524576784,0.000619272424326589,0.001045820605387402
RET_TREND_SLOPE_20,0.001643987781171885,0.0018550402665925558,-0.00265204109969448,0.0010108303249097728,0.0018467092474312885,0.0007409053040822044
RET_PAST_SKEW,0.00021660649819493782,0.0007914468203276459,-0.0007886698139405346,-1.9439044709790298e-05,0.00015828936406555582,7.164676478756293e-05
RET_SHORT_LONG_RATIO,-3.88780894196139e-05,9.164121077475107e-05,-4.443210219381433e-05,-5.83171341293709e-05,5.2763121355181576e-05,5.554012774267045e-07
RET_ASYM_VOL,-0.0003471257983893583,0.0009469591780060683,0.00016384337683982285,0.0011941127464593416,0.00024715356845320666,0.00044098861427381623
RET_EMB_1,0.0006414884754234795,0.000397111913357362,-0.0002665926131629748,-5.554012774189321e-06,0.0003193557345182008,0.00021716189947237563
RET_EMB_2,0.0009497361843932017,0.0008053318522632136,-8.053318522627251e-05,0.0012663149125243466,0.002268814218272719,0.001041932796445442
RET_EMB_3,0.0006942515967786722,-0.00015551235767846672,0.0008053318522633024,0.0008247708969730926,1.1108025548500767e-05,0.0004359900027770203
RET_EMB_4,0.0032324354346014994,-0.001221882810330499,0.0019189114134963048,0.0025270758122744263,0.0013773951680089215,0.0015667870036101307
RET_EMB_5,0.0007858928075534566,0.0019189114134961938,-0.0001943904470979807,-0.00026381560677585236,0.004057206331574581,0.0012607608997500797
RET_EMB_6,0.0004998611496806471,0.0007636767564565105,0.00012496528742022005,-0.0004443210219382987,0.0008553179672313616,0.0003599000277700881
